Species_full,a,b
Pseudanthias hiva,0.00933,2.97
Pseudanthias huchti,0.00933,2.97
Pseudanthias huchtii,0.00933,2.97
Pseudanthias hypselosoma,0.011842731,3.079371747
Pseudanthias ignitus,0.00933,2.97
Pseudanthias lori,0.00933,2.97
Pseudanthias mooreanus,0.01369,3.14874
Pseudanthias olivaceus,0.00933,2.97
Pseudanthias pascalus,0.014034763,3.139904735
Pseudanthias pictilis,0.00933,2.97
Pseudanthias pleurotaenia,0.00933,2.97
Pseudanthias regalis,0.00933,2.97
Pseudanthias sp,0.00933,2.97
Pseudanthias squamipinnis,0.014034763,3.139904735
Pseudanthias taeniatus,1.489532887,1.489532887
Pseudanthias tuka,0.00933,2.97
Pseudanthias ventralis,0.01369,3.14874
Pseudobalistes flavimarginatus,0.049126467,2.850140333
Pseudobalistes fuscus,0.07,2.76
Pseudobalistes naufragium,0.0257,2.94
Pseudocaranx dentex,0.0186,2.8563
Pseudocheilinops ataenia,0.01698,2.95
Pseudocheilinus citrinus,0.0049,3.51
Pseudocheilinus evanidus,0.010669345,3.177649683
Pseudocheilinus hexataenia,0.012423115,3.102549894
Pseudocheilinus ocellatus,0.01698,2.95
Pseudocheilinus octotaenia,0.010669345,3.177649683
Pseudocheilinus tetrataenia,1.60E-05,3.16
Pseudochromis ammeri,0.0049,3.1
Pseudochromis bitaeniatus,0.0049,3.1
Pseudochromis cyanotaenia,0.0049,3.1
Pseudochromis dutoiti,0.0049,3.1
Pseudochromis elongatus,0.0049,3.1
Pseudochromis flammicauda,0.0049,3.1
Pseudochromis fridmani,0.0049,3.1
Pseudochromis fuscus,0.007231708,3.133571397
Pseudochromis marshallensis,0.007231708,3.133571397
Pseudochromis perspicillatus,0.0049,3.1
Pseudochromis purpurascens,0.009969617,3.142416049
Pseudochromis salvati,0.021780153,2.752485494
Pseudochromis springeri,0.01175,3.01
Pseudochromis wilsoni,0.01175,3.01
Pseudocoris aurantiofasciata,0.01,3.06
Pseudocoris bleekeri,0.01,3.06
Pseudocoris heteroptera,0.01,3.06
Pseudocoris yamashiroi,0.006945,3.145
Pseudodax molluccanus,0.010334673,3.178824842
Pseudodax moluccanus,0.01122,3.04
Pseudojuloides atavai,0.01035,3.119
Pseudojuloides cerasinus,1.50E-05,3.12
Pseudojuloides elongatus,0.00389,3.11
Pseudolabrus fuentesi,0.006316667,3.169
Pseudolabrus guentheri,0.00955,3.05
Pseudolabrus luculentus,0.00955,3.05
Pseudolabrus semifasciatus,0.012325,3.11
Pseudopataecus carnatobarbatus,0.01122,3.04
Pseudupeneus grandisquamis,0.00977,3.14
Pseudupeneus maculatus,0.01284,3.1438
Pseudupeneus praysensis,0.0049,3.3734
Psilogobius mainlandi,4.58E-05,2.72
Pteragogus cryptus,0.013824673,3.063824842
Pteragogus enneacanthus,0.01698,2.95
Pteragogus flagellifer,0.01698,2.95
Pteragogus sp,0.01698,2.95
Pterapogon mirifica,0.00851,3.14
Ptereleotris calliura,0.00389,3.12
Ptereleotris evides,0.026387532,2.622565603
Ptereleotris hanae,0.026387532,2.622565603
Ptereleotris helenae,0.0091,3
Ptereleotris heteroptera,0.015138766,2.871282802
Ptereleotris microlepis,0.015138766,2.871282802
Ptereleotris monoptera,0.00389,3.12
Ptereleotris randalli,9.53E-06,2.9895
Ptereleotris sp,0.015138766,2.871282802
Ptereleotris zebra,0.03,2.62
Pterocaesio chrysozona,1.572751791,1.572751791
Pterocaesio digramma,0.009195503,3.250659543
Pterocaesio marri,0.01,3.23
Pterocaesio pisang,0.009457702,3.171893301
Pterocaesio randalli,0.01047,3.12
Pterocaesio tessellata,0.01288,3.16
Pterocaesio tile,0.009145403,3.233786602
Pterocaesio trilineata,0.010653989,3.177841546
Pterois antennata,0.023643638,2.893294004
Pterois lunulata,0.035807276,2.696588007
Pterois miles,0.01148,3.09
Pterois radiata,0.023643638,2.893294004
Pterois sp,0.023643638,2.893294004
Pterois volitans,0.023643638,2.893294004
Pygoplites diacanthus,0.672164328,2.002124965
Quassiremus nothochir,0.00148,2.9
Rachycentron canadum,0.00457,3.14
Rastrelliger kanagurta,0.013300623,2.952952987
Remora remora,1.576375,1.576375
Rhabdamia cypselura,0.01096,3.11
Rhabdamia cypselurus,0.01096,3.11
Rhabdamia gracilis,0.01047,3.1
Rhabdosargus sarba,0.02138,2.94
Rhinecanthus aculeatus,0.005696442,3.393028006
Rhinecanthus assasi,0.0257,2.94
Rhinecanthus cinereus,0.0257,2.94
Rhinecanthus lunula,0.0289,2.905
Rhinecanthus rectangulus,0.005696442,3.393028006
Rhinecanthus verrucosus,0.0257,2.94
Rhinesomus triqueter,0.05012,2.77
Rhinomuraena quaesita,0.00112,3.07
Rhinoptera steindachneri,0.01,3.04
Rhynchostracion nasus,0.03548,2.81
Rypticus bicolor,0.01454,3.046
Rypticus bistrispinus,2.54E-05,2.9266
Rypticus courtenayi,0.01698,3.01
Rypticus nigripinnis,0.01698,3.01
Rypticus saponaceus,2.54E-05,2.9266
Rypticus sp,2.54E-05,2.9266
Salarias alboguttatus,0.00741,3
Salarias ceramensis,0.00741,3
Salarias fasciatus,0.011066514,2.994837817
Salarias guttatus,0.00741,3
Salarias segmentatus,0.01023,3.01
Salarias sp,0.00741,3
Sarda australis,1.534157382,1.534157382
Sarda orientalis,0.00933,3.05
Sardinops neopilchardus,0.00871,3.06
Sargocentron bullisi,2.54E-05,2.9266
Sargocentron caudimaculatum,0.021915122,3.047386866
Sargocentron cornutum,0.01585,2.98
Sargocentron coruscum,0.0162,3.07
Sargocentron diadema,0.025047756,2.955222469
Sargocentron hastatum,0.0076,3.2582
Sargocentron hormion,0.01585,2.98
Sargocentron ittodai,0.01585,2.98
Sargocentron melanospilos,0.018882561,3.013693433
Sargocentron microstoma,0.01585,3.14
Sargocentron punctatissimum,0.01318,2.99
Sargocentron rubrum,0.023968243,2.959200926
Sargocentron sp,0.018882561,3.013693433
Sargocentron spiniferum,0.015405854,3.118811109
Sargocentron suborbitalis,0.021772261,3.13
Sargocentron tiere,0.00077604,2.46
Sargocentron tiereoides,0.01585,2.98
Sargocentron vexillarium,0.01469,3.02
Sargocentron violaceum,0.018882561,3.013693433
Sargocentron wilhelmi,0.0141,3.06
Sargocentron xantherythrum,1.50E-05,3.15
Saurida flamma,8.44E-06,3.11
Saurida gracilis,0.01,3.16
Saurida nebulosa,0.006188454,3.181874854
Saurida sp,0.007973385,3.059076893
Saurida undosquamis,0.006291799,3.13409868
Scaevius milii,0.01445,2.98
Scarideo NA,0.01622,3.13
Scartella caboverdiana,0.0081,3.27
Scartella cristata,0.009165,3.12
Scarus altipinnis,0.018396276,3.029320796
Scarus bleekeri,0.023373877,2.956463124
Scarus caudofasciatus,0.015391939,3.033231562
Scarus chameleon,0.023373877,2.956463124
Scarus coelestinus,0.01585,3.06
Scarus coeruleus,0.01264,3.0805
Scarus compressus,0.01413,3.05
Scarus dimidiatus,0.017296939,3.043231562
Scarus dubius,8.60E-06,3.31
Scarus falcipinnis,0.01413,3.05
Scarus ferrugineus,1.537204675,1.537204675
Scarus festivus,0.00741,3.11
Scarus flavipectoralis,0.023141939,2.983231562
Scarus forsteni,0.023373877,2.956463124
Scarus frenatus,0.023373877,2.956463124
Scarus ghoban,0.015391939,3.033231562
Scarus ghobban,0.0165,3.04116
Scarus globiceps,1.032594409,2.010290825
Scarus guacamaia,0.024345,2.955
Scarus hoefleri,9.63E-06,3.1109
Scarus hypselopterus,0.00741,3.11
Scarus iseri,0.01588,2.97
Scarus koputea,0.01413,3.05
Scarus longipinnis,0.023373877,2.956463124
Scarus niger,0.013346043,3.159957025
Scarus oviceps,1.032594409,2.010290825
Scarus perrico,0.00741,3.11
Scarus prasiognathos,0.00741,3.11
Scarus psittacus,0.010450903,3.318708889
Scarus quoyi,0.01318,3.1
Scarus rivulatus,0.016118788,3.07702383
Scarus rubroviolaceus,0.0233,2.919
Scarus russelii,0.01413,3.05
Scarus schlegeli,0.023058664,2.969191667
Scarus sp,0.015391939,3.033231562
Scarus spinus,0.015391939,3.033231562
Scarus taeniopterus,1.030703117,2.024803117
Scarus tricolor,0.01738,3.08
Scarus trispinosus,1.34E-05,3.0626
Scarus vetula,0.015915,3.025
Scarus xanthopleura,0.01413,3.05
Scarus zelindae,1.34E-05,3.0626
Scobinichthys granulatus,0.02188,2.91
Scolopsis affinis,0.01778,2.99
Scolopsis aurata,0.01778,2.99
Scolopsis bilineata,0.013978769,3.106888493
Scolopsis ciliata,0.0195,3.04
Scolopsis ciliatus,0.015738012,3.054293114
Scolopsis frenata,0.01778,2.99
Scolopsis frenatus,1.510671885,1.510671885
Scolopsis ghanam,0.01778,2.99
Scolopsis lineata,0.01905,3
Scolopsis margaritifer,0.01995,3.01
Scolopsis margaritifera,0.01778,2.99
Scolopsis monogramma,0.01862,3.03
Scolopsis taeniatus,0.018472737,2.981167962
Scolopsis taenioptera,0.018472737,2.981167962
Scolopsis temporalis,0.01549,2.97
Scolopsis trilineata,0.016759006,3.022146557
Scolopsis vosmeri,1.510671885,1.510671885
Scolopsis xenochrous,0.01778,2.99
Scomberoides commersonnianus,0.01096,2.91
Scomberoides lysan,9.10E-06,3
Scomberoides tol,0.011970653,2.808739878
Scomberomorus cavalla,0.00676,3.01
Scomberomorus commerson,0.00676,3.01
Scomberomorus maculatus,0.006,3.002
Scomberomorus queenslandicus,0.00813,3.04
Scomberomorus regalis,0.014875,2.91
Scomberomorus sierra,0.00617,2.96
Scorpaena brasiliensis,0.0348,2.85
Scorpaena cardinalis,0.0182,3.03
Scorpaena cookii,0.0182,3.03
Scorpaena histrio,0.01318,3.02
Scorpaena isthmensis,0.0348,2.85
Scorpaena mystes,0.01318,3.02
Scorpaena orgila,0.01314,3.14
Scorpaena plumieri,0.02478,2.929666667
Scorpaena sp,0.0348,2.85
Scorpaenodes caribbaeus,0.0145,2.97265
Scorpaenodes evides,0.0182,3.03
Scorpaenodes kelloggi,1.90E-06,3.73
Scorpaenodes parvipinnis,0.01549,3.04
Scorpaenodes scaber,0.01479,3.04
Scorpaenodes xyris,0.00955,2.98
Scorpaenopsis cirrosa,0.0123,3.02
Scorpaenopsis diabolus,1.10E-05,3.33
Scorpaenopsis oxycephala,0.0123,3.02
Scorpaenopsis papuensis,0.0123,3.02
Scorpaenopsis possi,0.0123,3.02
Scorpaenopsis venosa,0.0123,3.02
Scorpis violacea,0.01148,2.97
Scuticaria tigrina,0.0047,2.614
Sebastapistes coniorta,2.11E-05,3.2
Sebastapistes cyanostigma,0.0123,3.02
Sebastapistes mauritiana,0.0123,3.02
Sebastapistes strongia,0.0123,3.02
Sebastapistes tinkhami,0.0123,3.02
Sebastiscus marmoratus,0.01698,3.13
Sectator ocyurus,0.0275,2.86
Selar crumenophthalmus,0.0138,2.98
Selaroides leptolepis,0.0138,2.96
Semicossyphus darwini,0.00891,3.03
Seriola dumerili,2.80E-05,2.96
Seriola dumerilli,0.0363,2.771
Seriola lalandi,0.026,2.85
Seriola rivoliana,0.0359,2.801
Serranocirrhitus latus,0.01,3.03
Serranus atrobranchus,0.0079,3.4496
Serranus baldwini,1.18E-05,3.0358
Serranus flaviventris,0.011695,3.3248
Serranus psittacinus,0.01072,3.06
Serranus sp,0.01072,3.06
Serranus sp,0.0079,3.4496
Serranus tabacarius,0.01176,3.048
Serranus tico,0.01261,3.054
Serranus tigrinus,0.01225,3.044
Serranus tortugarum,0.01176,3.048
Siganus argenteus,0.010902526,3.154186078
Siganus canaliculatus,0.01585,2.97
Siganus corallinus,0.006780112,3.495394841
Siganus doliatus,0.012244936,3.191039998
Siganus fuscescens,0.014003538,3.05995175
Siganus guttatus,0.02138,3
Siganus javus,0.01622,3.08
Siganus lineatus,0.019641868,2.99416047
Siganus luridus,0.01318,2.97
Siganus niger,0.01447752,3.121692957
Siganus puelloides,0.01622,3.08
Siganus puellus,0.015101173,2.999197112
Siganus punctatissimus,0.01622,3.08
Siganus punctatus,0.009492753,3.276164267
Siganus rivulatus,0.01349,2.97
Siganus sp,0.01622,3.08
Siganus spinus,0.017718907,3.061254662
Siganus stellatus,0.0166,2.99
Siganus sutor,0.01622,3.08
Siganus trispilos,0.01622,3.08
Siganus uspi,0.01447752,3.121692957
Siganus vermiculatus,0.01622,3.08
Siganus virgatus,0.01995,3.12
Siganus vulpinus,1.024619563,2.060358042
Signigobius biocellatus,0.00891,3.07
Similiparma hermani,1.98E-05,3.0825
Siphamia majimai,0.014256584,3.14288498
Siphamia tubifer,0.01549,3.06
Siphamia versicolor,0.014256584,3.14288498
Solenostomus paradoxus,0.01,3.04
Sparisoma amplum,3.70E-05,2.9051
Sparisoma atomarium,1.031225022,2.036491688
Sparisoma aurofrenatum,0.01566,3.06
Sparisoma axillare,0.012435,3.09
Sparisoma chrysopterum,0.01531,3.045
Sparisoma cretense,0.010015,3.1045
Sparisoma frondosum,0.012815,3.05615
Sparisoma radians,0.013216667,3.0376
Sparisoma rocha,0.0154,3.0423
Sparisoma rubripinne,0.012255,3.052
Sparisoma sp,0.0179,3.0348
Sparisoma sp,0.01531,3.045
Sparisoma sp,0.0144,3.1
Sparisoma tuiupiranga,1.14E-05,3.0275
Sparisoma viride,0.0254,2.9725
Sphaeramia nematoptera,0.014873292,3.10144249
Sphaeramia orbicularis,0.014256584,3.14288498
Sphoeroides annulatus,0.02692,2.85
Sphoeroides greeleyi,0.017699834,3.086
Sphoeroides lobatus,0.0263,2.85
Sphoeroides marmoratus,0.02520947,2.965
Sphoeroides spengleri,0.027899646,2.846666667
Sphoeroides testudineus,0.017099604,3.089
Sphyraena barracuda,0.00610019,3.006712707
Sphyraena ensis,0.00676,2.9
Sphyraena flavicauda,0.006166776,2.991501855
Sphyraena forsteri,0.006128034,2.987031715
Sphyraena guachancho,0.0132,2.88
Sphyraena helleri,0.00708,2.91
Sphyraena idiastes,0.00708,2.91
Sphyraena japonica,0.00741,2.91
Sphyraena jello,0.00759,2.91
Sphyraena obtusata,0.015642604,2.74415
Sphyraena picudilla,0.0178,2.72
Sphyraena pinguis,0.005756524,3.012756009
Sphyraena qenie,0.00754,2.93069
Sphyraena sp,0.0132,2.88
Sphyraena waitei,0.008912547,2.855494829
Sphyrna lewini,0.0028,3.129
Sphyrna sp,0.002,3.1
Spicara melanurus,0.0302,2.83
Spicara nigricauda,0.0302,2.83
Spratelloides gracilis,0.00513,3.11
Squamicreedia obtusa,0.00389,3.12
Stanulus talboti,0.00741,3
Starksia sp,1.83E-05,2.8771
Stegastes acapulcoensis,0.01995,2.99
Stegastes adustus,0.028925,2.9235
Stegastes albifasciatus,0.039542536,2.989098757
Stegastes apicalis,0.04,2.99
Stegastes arcifrons,0.027425,2.95045
Stegastes aureus,0.01995,2.99
Stegastes beebei,0.027425,2.95045
Stegastes diencaeus,0.028925,2.9235
Stegastes emeryi,0.03841,3.01
Stegastes fasciolatus,0.047839166,3.1
Stegastes flavilatus,0.01995,2.99
Stegastes fuscus,0.017045,2.965
Stegastes gascoynei,0.029746268,2.989549379
Stegastes imbricatus,0.0193,2.96
Stegastes insularis,0.01995,2.99
Stegastes leucorus,0.0193,2.96
Stegastes leucostictus,0.02536,2.9135
Stegastes lividus,1.022875453,1.914664063
Stegastes marginatus,1.501738897,1.501738897
Stegastes nigricans,0.038408298,3.009999217
Stegastes obreptus,0.01995,2.99
Stegastes partitus,0.016495,3.081
Stegastes pictus,1.28E-05,3.1519
Stegastes planifrons,0.02989,2.9085
Stegastes punctatus,0.044569283,2.850257198
Stegastes rectifraenum,0.01585,2.96
Stegastes redemptus,0.0193,2.96
Stegastes rocasensis,0.0193,2.96
Stegastes sanctipauli,0.0193,2.96
Stegastes sp,0.0193,2.96
Stegastes variabilis,0.021793333,2.982
Stephanolepis hispidus,5.63E-05,2.772
Stephanolepis setifer,0.02188,2.91
Stethojulis albovittata,0.01023,3.06
Stethojulis balteata,1.60E-05,3.16
Stethojulis bandanensis,0.025231976,2.683
Stethojulis interrupta,0.019609087,2.829039393
Stethojulis marquesensis,0.01,3.05
Stethojulis notialis,0.013701957,2.933128822
Stethojulis sp,0.013701957,2.933128822
Stethojulis strigiventer,0.013701957,2.933128822
Stethojulis trilineata,0.014492014,2.991177608
Strongylura incisa,0.0012,3.09
Strongylura timucu,5.00E-04,3.25
Stygnobrotula latebricola,0.01122,3.04
Suezichthys arquatus,0.00447,3.14
Suezichthys gracilis,0.010669345,3.177649683
Sufflamen albicaudatum,0.0257,2.94
Sufflamen bursa,0.032440877,2.929115407
Sufflamen chrysopterum,0.026195439,2.939557704
Sufflamen fraenatum,0.026885881,2.952913867
Sufflamen verres,0.02835,2.9435
Symphorichthys spilurus,0.01259,3.03
Symphorus nematophorus,0.01259,3.03
Synanceia verrucosa,0.01122,3.04
Synchiropus bartelsi,0.01,3.04
Synchiropus moyeri,0.01047,3.01
Synchiropus splendidus,0.011212031,3.200726532
Synchiropus stellatus,0.01047,3.01
Synodus binotatus,6.60E-06,3.16
Synodus capricornis,0.0031,3.48
Synodus dermatogenys,0.005133034,3.297766689
Synodus doaki,0.00407,3.19
Synodus foetens,0.00407,3.19
Synodus hoshinonis,0.001768622,3.662091494
Synodus intermedius,0.80404912,2.41082412
Synodus jaculum,0.00407,3.19
Synodus lacertinus,0.00407,3.19
Synodus rubromarmoratus,0.00407,3.19
Synodus sageneus,0.00407,3.19
Synodus saurus,0.003935,3.261
Synodus similis,0.00407,3.19
Synodus sp,0.00407,3.19
Synodus synodus,0.003235,3.33
Synodus ulae,5.27E-06,3.21
Synodus variegatus,0.003142821,3.483798595
Taeniamia biguttata,0.01549,3.06
Taeniamia fucata,0.01259,3.06
Taeniamia leai,0.01318,3.18
Taeniamia melasma,0.01122,3.04
Taeniamia zosterophora,0.01413,3.01
Taenianotus triacanthus,6.88E-05,2.92
Taeniura grabata,0.043245,2.92
Taeniura lymma,0.010981931,3.191243605
Taeniura meyeni,0.034,2.989
Takifugu alboplumbeus,0.02692,2.88
Thalassoma amblycephalum,0.012305946,3.097020357
Thalassoma ballieui,1.20E-05,3.18
Thalassoma bifasciatum,0.00961,3.025
Thalassoma duperrey,1.50E-05,3.12
Thalassoma grammaticum,0.0211,2.83174
Thalassoma hardwicke,0.015866747,2.999217572
Thalassoma hebraicum,1.519924139,1.519924139
Thalassoma heiseri,0.00848,3.0777
Thalassoma jansenii,1.017384741,2.045622878
Thalassoma lucasanum,0.00891,2.995
Thalassoma lunare,0.021100959,2.831738121
Thalassoma lutescens,0.00848,3.08
Thalassoma newtoni,0.0092,3.111
Thalassoma nigrofasciatum,0.00977,3.04
Thalassoma noronhanum,1.30E-05,2.9162
Thalassoma pavo,0.009485,3.0755
Thalassoma purpureum,0.015233246,3.23
Thalassoma quinquevittatum,0.012305946,3.097020357
Thalassoma robertsoni,0.01,3.04
Thalassoma rueppellii,0.00977,3.04
Thalassoma septemfasciatum,0.01,3.04
Thalassoma trilobatum,0.012305946,3.097020357
Thalassoma virens,0.01,3.04
Thamnaconus analis,0.02188,2.91
Thorogobius angolensis,0.0109,3.09
Threpterius maculosus,0.01023,3.05
Thunnus albacares,0.01413,3.03
Tigrigobius dilepis,0.00661,3.08
Trachinotus baillonii,0.0123,2.97
Trachinotus blochii,0.03311,2.83
Trachinotus falcatus,0.01072,2.91
Trachinotus goodei,0.0122,2.832
Trachinotus rhodopus,1.472293632,1.472293632
Trachinotus stilbe,0.0188,2.985
Trachypoma macracanthus,0.00933,2.97
Tragulichthys jaculiferus,0.0309,2.89
Triaenodon obesus,0.0018,3.3439
Trimma benjamini,0.00891,3.07
Trimma caesiura,0.00891,3.07
Trimma hayashii,0.00891,3.07
Trimma lantana,0.00891,3.07
Trimma macrophthalmum,0.00891,3.07
Trimma okinawae,0.00891,3.07
Trimma sp,0.00891,3.07
Trimma striata,0.00891,3.07
Trimma striatum,0.00891,3.07
Trimma taylori,0.00891,3.07
Trimma tevegae,0.00891,3.07
Trimma woutsi,0.00891,3.07
Trinorfolkia clarkei,0.0055,3.08
Tylosurus crocodilus,0.000569373,3.284805802
Tylosurus pacificus,0.000569373,3.284805802
Ucla xenogrammus,0.0055,3.08
Ulua mentalis,0.02951,2.9
Umbrina ronchus,0.0119,2.985
Upeneus tragula,0.011281792,3.049001135
Uraspis helvola,0.0138,2.96
Urobatis concentricus,0.00977,3.08
Urobatis halleri,1.546861593,1.546861593
Urobatis jamaicensis,0.00871,3.04
Urobatis tumbesensis,0.01318,3.13
Valenciennea alleni,0.01,3.04
Valenciennea decora,0.00589,3.1
Valenciennea helsdingenii,0.00891,3.07
Valenciennea immaculata,0.00589,3.1
Valenciennea longipinnis,0.005709104,3.12318467
Valenciennea muralis,0.009653915,2.96447404
Valenciennea parva,0.00891,3.07
Valenciennea puellaris,1.032019342,1.981536092
Valenciennea randalli,0.00891,3.07
Valenciennea sexguttata,1.032019342,1.981536092
Valenciennea strigata,0.009653915,2.96447404
Variola albimarginata,0.01698,3.11
Variola louti,0.01,3.08
Variola sp,0.01698,3.11
Virididentex acromegalus,0.0302,2.83
Wetmorella albofasciata,0.010669345,3.177649683
Wheelerigobius wirtzi,0.0109,3.09
Xanthichthys auromarginatus,0.00019824,2.71
Xanthichthys mento,0.0261725,3.0755
Xenocys jessiae,0.00389,3.12
Xyrichtys martinicensis,0.01,3
Xyrichtys pavo,1.00E-05,3
Xyrichtys splendens,0.01,3
Xyrichtys umbrilatus,1.00E-05,3
Zabidius novemaculeatus,0.02188,2.96
Zanclus cornutus,0.0147,3.36991
Zapteryx xyster,0.00708,3.05
Zebrasoma desjardinii,0.02239,2.98
Zebrasoma flavescens,0.00054,2.49
Zebrasoma gemmatum,0.02291,2.94
Zebrasoma rostratum,0.03011,2.918385
Zebrasoma scopas,0.027681008,2.990913205
Zebrasoma veliferum,0.03425216,2.865805779
Zebrasoma xanthurum,0.02239,2.98
Zoramia fragilis,0.01549,3.06
Zoramia leptacantha,0.01549,3.06
Zoramia viridiventer,0.01549,3.06
Acanthurus tennenti,0.042561181,2.868263525
Plectorhinchus chubbi,0.01905,2.96
Callechelys catostoma,0.00126,2.93
Chrysiptera annulata,0.01514,2.99
Parapercis hexophtalma,0.00776,3.13
Priacanthus cruentatus,0.024292995,2.835422928
Zebrasoma sp,0.027681008,2.990913205
Apogon nigripinnis,0.01096,3.11
Rhabdosargus thorpei,0.02291,2.95
Gnathodentex aurolineatus,0.01514,3.01
Pomacanthus annularis,0.0389,2.88
